Customer Name,Customer Site,town__city,County,Postcode,Country,Connection Status,accepted_to_connect_registered_capacity__mw_,already_connected_registered_capacity__mw_,maximum_export_capacity__mw_,maximum_import_capacity__mw_,Date Connected,Date Accepted
ABRIACHAN ELECTRIC COMPANY LIMITED,ABRIACHAN HYDRO,INVERNESS,PERTH AND KINROSS,IV3 8LA,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.095,0.095,0,15/06/2015,DATA NOT AVAILABLE
WESTER KERROWGAIR FARM ENERGY LTD,WEST KERROWGAIR FARM BIOGAS,INVERNESS,PERTH AND KINROSS,IV2 7JE,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.47405,0.47405,0,18/09/2015,DATA NOT AVAILABLE
SCOTTISH WATER,GLENCONVINTH WATER TREATMENT WORKS,INVERNESS,PERTH AND KINROSS,IV4 7HS,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.1425,0.1425,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
ACHLAIN ESTATES LIMITED,ALLT A CHAITCHINN HYDRO,INVERNESS,PERTH AND KINROSS,IV63 7YN,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.0931,0.0931,0.01615,04/09/2019,DATA NOT AVAILABLE
INVER FARMERS,DATA NOT AVAILABLE,LOCHGILPHEAD,PERTH AND KINROSS,PA31 8NZ,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.1045,0.1045,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
BHIORAIN HYDRO LTD,ALLT BHIORAIN,BALLACHULISH,INVERNESS,PH49 4JA,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.93195,0.93195,0.01425,31/08/2022,DATA NOT AVAILABLE
CHARNAN HYDRO LTD,IMPORT/EXPORT,BALLACHULISH,INVERNESS,PH49 4JA,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.99465,0.99465,0.01425,29/07/2022,DATA NOT AVAILABLE
FHAOLAIN HYDRO LTD,EXPORT,BALLACHULISH,INVERNESS,PH49 4JA,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.5567,0.5567,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
SSE GENERATION LIMITED,COMP SETS,INVERGARRY,HIGHLAND,PH35 4HL,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.285,0.285,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
SSE GENERATION LIMITED,NOSTIE BRIDGE (G2),KYLE,HIGHLAND,IV40 8EQ,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.59375,0.59375,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
DINGWALL & HIGHLAND MARTS LIMITED,AUCTION MART,DINGWALL,PERTH AND KINROSS,IV15 9TR,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.0855,0.0855,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
GREEN HIGHLAND RENEWABLES LIMITED,HYDRO GENERATING STATION,ACHNASHEEN,PERTH AND KINROSS,IV22 2EN,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.94905,0.94905,0.0095,18/02/2015,DATA NOT AVAILABLE
GREEN HIGHLAND ALLT LUAIDHE (228) LTD,ALLT LUAIDHE HYDRO,INVERNESS,PERTH AND KINROSS,IV2 6UP,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.513,0.513,0,20/11/2015,DATA NOT AVAILABLE
GREEN HIGHLAND ALLT CHOIRE A BHALACHAIN (255) LTD,GENERATING STATION,INVERGARRY,PERTH AND KINROSS,PH35 4HS,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.8075,0.8075,0.0095,26/11/2015,DATA NOT AVAILABLE
GREEN HIGHLAND ALT PHOCACHAIN (1DATA NOT AVAILABLE15) LIMITED,GENERATING STATION,INVERNESS,PERTH AND KINROSS,IV63 7YJ,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.5225,0.5225,0.00475,26/11/2015,DATA NOT AVAILABLE
GREEN HIGHLAND ALLT PHOCACHAIN (1DATA NOT AVAILABLE15) LTD,GENERATING STATION,INVERNESS,PERTH AND KINROSS,IV63 7YJ,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.5225,0.5225,0.00475,18/11/2015,DATA NOT AVAILABLE
COOP PPA SITES,RHICONICH HYDRO EXPORT,LAIRG,HIGHLAND,IV27 4RL,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.19,0.19,0.0057,22/04/2022,DATA NOT AVAILABLE
COOP PPA SITES,INVERARISH AND MINE BURN HYDRO,KYLE,HIGHLAND,IV40 8PB,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.13015,0.13015,0.057,15/06/2022,DATA NOT AVAILABLE
LOCH ERIBOLL OYSTERS LTD,ALLT AN LAGAIN HYDRO,LAIRG,HIGHLAND,IV27 4UN,SCOTLAND,ACCEPTED TO CONNECT,0.095,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,14/09/2018
MES POWER ENGINEERING,DESIGNAPPROVAL SLACKBUIE,INVERNESS,HIGHLAND,IV2 4QL,SCOTLAND,ACCEPTED TO CONNECT,0.055,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,07/01/2020
HGA (UK) LTD,TULLOCH'S AT DRUMMOND HILL,INVERNESS,HIGHLAND,IV2 5JS,SCOTLAND,ACCEPTED TO CONNECT,0.029,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,28/01/2022
ECODYN LTD,WITH CCM,ISLE OF SKYE,HIGHLAND,IV51 9PR,SCOTLAND,ACCEPTED TO CONNECT,0.900,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,19/07/2019
SPRINGFIELD PROPERTIES PLC,ISSUED,INVERNESS,HIGHLAND,IV2 5DJ,SCOTLAND,ACCEPTED TO CONNECT,0.045,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,10/03/2020
NATURAL POWER CONSULTANTS,TOM NAN CLACH FARM WIND,NAIRN,HIGHLAND,IV12 5UR,SCOTLAND,ACCEPTED TO CONNECT,0.001,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,30/04/2021
R & I CRUDEN LTD,2 X 30KW PV,DINGWALL,HIGHLAND,IV15 9QF,SCOTLAND,ACCEPTED TO CONNECT,0.060,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,11/09/2020
EMTEC ENERGY,RETURNED - SINCAL 0.190MW - PV,NAIRN,HIGHLAND,IV12 5QW,SCOTLAND,ACCEPTED TO CONNECT,0.276,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,12/02/2021
ROBERTSON HOMES LTD,FAO STEPHEN WARD,INVERNESS,HIGHLAND,IV3 8LP,SCOTLAND,ACCEPTED TO CONNECT,0.061,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,03/02/2022
ABSOLUTE SOLAR AND WIND LTD,1.131MW PV (ADD CAP),ALEXANDRIA,HIGHLAND,G83 8NB,SCOTLAND,ACCEPTED TO CONNECT,0.931,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,23/08/2022
ROBERTSON HOMES LTD,ISSUED,INVERNESS,HIGHLAND,DATA NOT AVAILABLE,SCOTLAND,ACCEPTED TO CONNECT,0.214,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,18/05/2022
ATELIER TEN, 361 KVA,ISLE OF SKYE,HIGHLAND,IV49 9AP,SCOTLAND,ACCEPTED TO CONNECT,0.008,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,19/04/2024
SALES SCOTLAND ENERGETICS,DATA NOT AVAILABLE,INVERNESS ,HIGHLAND,IV2 6BS,SCOTLAND,ACCEPTED TO CONNECT,0.008,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,10/04/2024
STRATHCONON ESTATES LTD,STRATHANMORE HYDRO,MUIR OF ORD,HIGHLAND,IV6 7QQ,SCOTLAND,ACCEPTED TO CONNECT,0.25,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,17/07/2024
SALES SCOTLAND ENERGETICS,AA SIGNED - RELEASED TO DELIVERY,NEWTONMORE,HIGHLAND,PH20 1EF,SCOTLAND,ACCEPTED TO CONNECT,0.016,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,24/07/2024
BRACEWELL STIRLING,DATA NOT AVAILABLE,DINGWALL,HIGHLAND,IV15 9UQ,SCOTLAND,ACCEPTED TO CONNECT,0.058,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,12/09/2024
CAMERON+ROSS,DATA NOT AVAILABLE,INVERNESS,HIGHLAND,IV2 6AQ,SCOTLAND,ACCEPTED TO CONNECT,0.009,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,20/11/2019
SCOTTISH WATER HORIZONS,THURSO WASTE WATER TREATMENT WORKS WIND ADDCAP,THURSO,HIGHLAND,KW14 8HW,SCOTLAND,ACCEPTED TO CONNECT,0.45,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,22/05/2025
SALES SCOTLAND ENERGETICS,MAJOR CONNECTIONS - ISSUED -DG - HOUSING AREA H,INVERNESS,HIGHLAND,IV2 6BY,SCOTLAND,ACCEPTED TO CONNECT,0.222,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,08/05/2025
THE HIGHLAND COUNCIL,"MULTIPLE G98S, MURCHISON STREET, WICK",WICK,CAITHNESS,KW1 5HW,SCOTLAND,ACCEPTED TO CONNECT,0.144,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,17/06/2025
WELBECK ESTATES COMPANY LIMITED,LANGWELL HOUSE 75KW SOLAR PV,BERRIEDALE,HIGHLAND,KW7 6HD,SCOTLAND,ACCEPTED TO CONNECT,0.075,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,05/09/2025
COOP PPA SITES,NORTH LOTHIAN FARM,FRASERBURGH,PERTH AND KINROSS,AB43 8QU,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.475,0.475,0,18/11/2014,DATA NOT AVAILABLE
SSE GENERATION LIMITED,DATA NOT AVAILABLE,ISLE OF TIREE,PERTH AND KINROSS,PA77 6UP,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.665,0.665,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
SSE GENERATION LIMITED,NOSTIE BRIDGE (G2),KYLE,HIGHLAND,IV40 8EQ,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.59375,0.59375,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
SSE GENERATION LIMITED,DATA NOT AVAILABLE,ISLE OF TIREE,PERTH AND KINROSS,PA77 6UP,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.665,0.665,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
SSE GENERATION LIMITED,DATA NOT AVAILABLE,ISLE OF TIREE,PERTH AND KINROSS,PA77 6UP,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.665,0.665,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
SSE GENERATION LIMITED,DATA NOT AVAILABLE,ISLE OF TIREE,PERTH AND KINROSS,PA77 6UP,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.665,0.665,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
REDACTED,REDACTED,REDACTED,REDACTED,DD1 4Q,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.05035,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
REDACTED,REDACTED,REDACTED,REDACTED,DD1 1Q,SCOTLAND,ACCEPTED TO CONNECT,0.05,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,28/02/2024
JOHN BROWN & SON,WEST ADAMSTON,DUNDEE,PERTH AND KINROSS,DD2 5QX,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.095,0.095,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
HUTCHISON TECHNOLOGIES LTD,DATA NOT AVAILABLE,DUNDEE,PERTH AND KINROSS,DD2 1TP,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.1501,0.1501,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
BRIAN FRAME,BLOCK 7A,DUNDEE,DUNDEE,DD2 4UH,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.11115,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
COOP PPA SITES,RESEARCH INSTITUTE (HV),DUNDEE,PERTH AND KINROSS,DD2 5AT,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.9994,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
ENERGETICS,FORMER LIFF HOSPITAL,DUNDEE,DUNDEE,DD2 5SQ,SCOTLAND,ACCEPTED TO CONNECT,0.086,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,30/10/2019
REDACTED,REDACTED,REDACTED,REDACTED,DD2 3N,SCOTLAND,ACCEPTED TO CONNECT,0.15,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,04/07/2024
REDACTED,REDACTED,REDACTED,REDACTED,DD2 5L,SCOTLAND,ACCEPTED TO CONNECT,0.005,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,19/06/2025
REDACTED,REDACTED,REDACTED,REDACTED,DD2 5,SCOTLAND,ACCEPTED TO CONNECT,0.16,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,08/08/2025
REDACTED,REDACTED,REDACTED,REDACTED,DD2 1E,SCOTLAND,ACCEPTED TO CONNECT,0.1,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,14/08/2025
SCOTSTON WIND POWER LIMITED,SCOTSTON WINDFARM,DUNDEE,PERTH AND KINROSS,DD3 0QT,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.76,0.76,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
MESSRS JOHN RS GRANT LTD,WEST MAINS OF AUCHTERHOUSE WIND,DUNDEE,PERTH AND KINROSS,DD3 0QW,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.285,0.285,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
DRONLEY FARMING LTD,SHED,DUNDEE,PERTH AND KINROSS,DD3 0QJ,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.07125,0.07125,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
ALPHA REAL - ELM 2DATA NOT AVAILABLE23 - EXPORT,TEALING WIND TURBINE,DUNDEE,PERTH AND KINROSS,DD4 0RD,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.475,0.475,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
SAINSBURYS SUPERMARKETS LTD,SAINSBURYS SUPERMARKET,DUNDEE,PERTH AND KINROSS,DD4 8TJ,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.342,0.342,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
DUNDEE CITY COUNCIL,ENERGY CENTRE,DUNDEE,PERTH AND KINROSS,DD4 9BX,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.1444,0.1444,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
BARRATT HOMES NORTH SCOTLAND,DATA NOT AVAILABLE,DUNDEE,DUNDEE CITY,DD4 7DD,SCOTLAND,ACCEPTED TO CONNECT,0.268,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,14/11/2022
BIFFA WASTE SERVICES LIMITED,KNOWEHEAD LANDFILL,DUNDEE,PERTH AND KINROSS,DD5 3QF,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.8835,0.8835,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
AGM FORBES,EAST DENSIDE GENERATION,DUNDEE,PERTH AND KINROSS,DD5 3QE,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.247,0.247,0,07/10/2014,DATA NOT AVAILABLE
FAIRLIE BIOFUELS LIMITED,KIRKTON OF MONKIE FARM AD,DUNDEE,PERTH AND KINROSS,DD5 3QN,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.475,0.475,0,05/08/2016,DATA NOT AVAILABLE
FAIRLIE FRESH PRODUCE LIMITED,KIRKTON OF MONIKIE FARM,DUNDEE,DUNDEE,DD5 3QN,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.19,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
REDACTED,REDACTED,REDACTED,REDACTED,DD5 3N,SCOTLAND,ACCEPTED TO CONNECT,0.029,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,05/09/2024
REDACTED,REDACTED,REDACTED,REDACTED,IV1 1U,SCOTLAND,ACCEPTED TO CONNECT,0.360,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,28/02/2023
REDACTED,REDACTED,REDACTED,REDACTED,IV1 1S,SCOTLAND,ACCEPTED TO CONNECT,0.087,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,22/02/2023
REDACTED,REDACTED,REDACTED,REDACTED,IV1 1S,SCOTLAND,ACCEPTED TO CONNECT,0.548,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,29/03/2023
COOP PPA SITES,EASTER ABERCHALDER WIND EXPORT,INVERGARRY,PERTH AND KINROSS,IV2 6UJ,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.475,0.475,0,05/12/2014,DATA NOT AVAILABLE
CONNELL VENTURES LIMITED,GARROGIE LODGE HYDRO,INVERNESS,PERTH AND KINROSS,IV2 6UR,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.5225,0.5225,0.01425,02/11/2015,DATA NOT AVAILABLE
ORSETT ESTATES LIMITED,GLEN BREIN HYDRO,INVERNESS,PERTH AND KINROSS,IV2 6UR,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.342,0.342,0.01425,25/11/2015,DATA NOT AVAILABLE
GREEN HIGHLAND ALLT LUAIDHE (228) LTD,ALLT LUAIDHE HYDRO,INVERNESS,PERTH AND KINROSS,IV2 6UP,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.513,0.513,0,20/11/2015,DATA NOT AVAILABLE
CONNELL VENTURES LIMITED,ALLT MOR HYDRO GENERATING STN,INVERNESS,PERTH AND KINROSS,IV2 6UR,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.3325,0.3325,0,28/10/2015,DATA NOT AVAILABLE
FARR HYDRO SCHEME LLP,FARR HYDRO,INVERNESS,PERTH AND KINROSS,IV2 6XB,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.475,0.475,0,24/11/2015,DATA NOT AVAILABLE
WESTER KERROWGAIR FARM ENERGY LTD,WEST KERROWGAIR FARM BIOGAS,INVERNESS,PERTH AND KINROSS,IV2 7JE,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.47405,0.47405,0,18/09/2015,DATA NOT AVAILABLE
GOSHAWK ENERGY LIMITED,EASTER ABERCHALDER HYDRO,INVERNESS,PERTH AND KINROSS,IV2 6UJ,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.7125,0.7125,0,28/10/2015,DATA NOT AVAILABLE
SW - ALLANFEARN,WASTEWATER TREATMENT WORKS,INVERNESS,PERTH AND KINROSS,IV2 7HX,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.228,0.228,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
CONAGLEANN LIMITED,DUNMAGLASS ESTATE LIMITED,INVERNESS,PERTH AND KINROSS,IV2 6UD,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.475,0.475,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
SCOTTISH WATER,DATA NOT AVAILABLE,INVERNESS,PERTH AND KINROSS,IV2 6AP,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.475,0.475,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
MES POWER ENGINEERING,DESIGNAPPROVAL SLACKBUIE,INVERNESS,HIGHLAND,IV2 4QL,SCOTLAND,ACCEPTED TO CONNECT,0.055,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,07/01/2020
HGA (UK) LTD,TULLOCH'S AT DRUMMOND HILL,INVERNESS,HIGHLAND,IV2 5JS,SCOTLAND,ACCEPTED TO CONNECT,0.029,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,28/01/2022
SPRINGFIELD PROPERTIES PLC,ISSUED,INVERNESS,HIGHLAND,IV2 5DJ,SCOTLAND,ACCEPTED TO CONNECT,0.045,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,10/03/2020
SALES SCOTLAND ENERGETICS,DATA NOT AVAILABLE,INVERNESS ,HIGHLAND,IV2 6BS,SCOTLAND,ACCEPTED TO CONNECT,0.008,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,10/04/2024
REDACTED,REDACTED,REDACTED,REDACTED,IV2 7,SCOTLAND,ACCEPTED TO CONNECT,0.024,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,15/11/2024
CAMERON+ROSS,DATA NOT AVAILABLE,INVERNESS,HIGHLAND,IV2 6AQ,SCOTLAND,ACCEPTED TO CONNECT,0.009,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,20/11/2019
REDACTED,REDACTED,REDACTED,REDACTED,IV2 6G,SCOTLAND,ACCEPTED TO CONNECT,0.049,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,09/05/2025
SALES SCOTLAND ENERGETICS,MAJOR CONNECTIONS - ISSUED -DG - HOUSING AREA H,INVERNESS,HIGHLAND,IV2 6BY,SCOTLAND,ACCEPTED TO CONNECT,0.222,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,08/05/2025
DOCHFOUR ENTERPRISES LIMITED,DOCHFOUR HYDRO,INVERNESS,PERTH AND KINROSS,IV3 8GY,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.2375,0.2375,0,21/08/2015,DATA NOT AVAILABLE
ABRIACHAN ELECTRIC COMPANY LIMITED,ABRIACHAN HYDRO,INVERNESS,PERTH AND KINROSS,IV3 8LA,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.095,0.095,0,15/06/2015,DATA NOT AVAILABLE
ROBERTSON HOMES LTD,FAO STEPHEN WARD,INVERNESS,HIGHLAND,IV3 8LP,SCOTLAND,ACCEPTED TO CONNECT,0.061,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,03/02/2022
SSE GENERATION LIMITED,CULLIGRAN POWER STATION,INVERNESS,PERTH AND KINROSS,IV4 7JX,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.19,0.19,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
SSE GENERATION LIMITED,DATA NOT AVAILABLE,BEAULY,PERTH AND KINROSS,IV4 7JX,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.38,0.38,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
MONAR LODGE - HYDRO GENERATING STATION,HYDRO GENERATING STATION,BEAULY,PERTH AND KINROSS,IV4 7JX,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.665,0.665,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
TORRENTIAL POTENTIAL LIMITED,NEATY BURN HYDRO,BEAULY,PERTH AND KINROSS,IV4 7JX,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.665,0.665,0,10/09/2014,DATA NOT AVAILABLE
REDACTED,REDACTED,REDACTED,PERTH AND KINROSS,IV4 7L,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.095,0.095,0,17/12/2015,DATA NOT AVAILABLE
MULLARDOCH HYDRO LTD,ALLT MULLARDOCH HYDRO,BEAULY,PERTH AND KINROSS,IV4 7LX,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.475,0.475,0.01425,14/11/2016,DATA NOT AVAILABLE
ALBION CAPITAL,LIATRE BURN HYDRO,BEAULY,PERTH AND KINROSS,IV4 7LX,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.475,0.475,0.01425,14/11/2016,DATA NOT AVAILABLE
SAPPHIRE ENERGY LIMITED,STRATHGLASS,BEAULY,PERTH AND KINROSS,IV4 7LE,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.46075,0.46075,0.01425,28/07/2017,DATA NOT AVAILABLE
SCOTTISH WATER,GLENCONVINTH WATER TREATMENT WORKS,INVERNESS,PERTH AND KINROSS,IV4 7HS,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.1425,0.1425,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
SSE GENERATION LIMITED,COMP SETS,INVERGARRY,HIGHLAND,PH35 4HL,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.285,0.285,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
