Customer Name,Customer Site,town__city,County,Postcode,Country,Connection Status,accepted_to_connect_registered_capacity__mw_,already_connected_registered_capacity__mw_,maximum_export_capacity__mw_,maximum_import_capacity__mw_,Date Connected,Date Accepted
SSE GENERATION LTD,DATA NOT AVAILABLE,STRATHPEFFER,PERTH AND KINROSS,IV14 9EB,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.285,0.285,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
SSE GENERATION LIMITED,"QUOICH DAM,",FORT AUGUSTUS,PERTH AND KINROSS,PH35 4HS,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.38,0.38,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
SSE GENERATION LIMITED,DATA NOT AVAILABLE,BEAULY,PERTH AND KINROSS,IV4 7JX,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.38,0.38,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
SSE GENERATION LIMITED,MORAR POWER STATION,MALLAIG,PERTH AND KINROSS,PH40 4PD,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.38,0.38,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
SSE GENERATION LIMITED,DATA NOT AVAILABLE,MALLAIG,PERTH AND KINROSS,PH40 4PD,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.38,0.38,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
KESTRAL CONTROLS LTD,DATA NOT AVAILABLE,PERTH,PERTH AND KINROSS,DATA NOT AVAILABLE,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.095,0.095,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
FORSS 1,FORSS WIND FARM,THURSO,PERTH AND KINROSS,KW14 7YA,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.80845,0.80845,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
BIFFA WASTE SERVICES LIMITED,KNOWEHEAD LANDFILL,DUNDEE,PERTH AND KINROSS,DD5 3QF,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.8835,0.8835,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
RENFIN STANLEY MILLS LTD,STANLEY MILLS,PERTH,PERTH AND KINROSS,PH1 4RB,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.93575,0.93575,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
SSE GENERATION LIMITED,DATA NOT AVAILABLE,LAIRG,PERTH AND KINROSS,IV27 4NY,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.095,0.095,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
SSE GENERATION LIMITED,DATA NOT AVAILABLE,ISLE OF LEWIS,PERTH AND KINROSS,HS2 9EW,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.665,0.665,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
